Purchase_Order_Description,Manufacturer,Part_Number,Vendor_Description
"1/2"" Strut Nut - Plated",UNISTRUT,UNISTRUTP3010EG,"1/2"" THICK STRUT SILVER NUT SPRINGLESS [100/BX]"
"8"" Rigid Strut Clamp - Gold",SUP,SUP7028,"GOLD 8"" RIGID PIPE CLAMP STRUT TUBING STRAP   [10/BX]"
"6"" Rigid Strut Clamp - Gold",SUP,SUP7026,"GOLD 6"" RIGID PIPE CLAMP STRUT TUBING STRAP   [10/BX]"
"4"" Rigid Strut Clamp - Gold",SUP,SUP7024,"GOLD 4"" RIGID PIPE CLAMP STRUT TUBING STRAP   [25/BX]"
6 inch ditto,ASC,05000260ZL,"260 6""  GALV ADJ CLEVIS HNGR"
6 same,ASC,05000260ZL,"260 6""  GALV ADJ CLEVIS HNGR"
A1200 HS gold,SUP,SUPA1200HS20GOLD,"HALF SLOT 1-5/8"" X 1-5/8"" SINGLE STRUT 12GA 20' YELLOW ZINC CHANNEL"
A1200 gold,SUP,SUPA120020GOLD,"SOLID 1-5/8"" X 1-5/8"" SINGLE STRUT 12GA 20' GOLD CHANNEL"
SUP702 - 3-1/2,SUP,SUP70231/2,"GOLD 3-1/2"" RIGID STRUT CLAMP 4"" OD FOR 3-1/2"" GRC CONDUIT"
SUPAB239-2,SUP,SUPAB2392,"GOLD ANGULAR FITTING KNEE BRACE 17"" LONG [10/BX]"
"1/2""x1"" Cap Screw - Plated",HHC,HHC1/2X1PKG,"HEX HEAD BOLT 1/2""-13 X 1"" C/S CAP SCREW ZINC PLATED [HZ28100]"
"1/2"" Strut Nut - Plated",SUP,SUPAB1001/2EG,"SILVER EG 1/2"" SPRINGLESS STRUT CHANNEL NUT ZINC PLATED [100/BX]"
3/8 nuts for above,NUT,NUT3/8ZINCPKG,"FINISH HEX NUT 3/8""-16 ZINC PLATED [FNC0060] [100/PK] [1800/CS]"
3/8 flat wash for above,CWA,CWA3/8USSZINCPKG,"CUT FLAT WASHER 3/8"" USS ZINC PLATED [WFB1006] [100/PK] [2400/CS]"
3X10 NO HUB PIP E,AB&I FOUNDRY,***480FT/LIFT***AB&I00160,3X10 NO HUB PIPE
1 1/2X20 L HARD COPPER,CAMBRIDGELEE INDUSTRIES,MUELLH14020CAMB,1 1/2X20 L HARD COPPER
2X20 L HARD COP PER,CAMBRIDGELEE INDUSTRIES,MUELLH20020CAMB,2X20 L HARD COPPER
3X20 L HARD COP PER,CAMBRIDGELEE INDUSTRIES,MUELLH30020CAMB,3X20 L HARD COPPER
3/4X20 L HARD C OPPER,CAMBRIDGELEE INDUSTRIES,MUELLH06020CAMB,3/4X20 L HARD COPPER
3/4 CXM ADAPT,ELKHART PRODUCTS CORP,25/BOXEPC10030330MUEL,3/4 CXM ADAPT
1 1/2 CXC CPLG EPC 10030914 MUEL W 10149,ELKHART PRODUCTS CORP,EPC10030914MUELW10149,1 1/2 CXC CPLG
3 REG NO HUB CP LG MIS C300C ANA 0008,ANACO,MISC300CANA0008,3 REG NO HUB CPLG
1 1/2 CXC 45 EPC 10031134 MUEL W 03055,ELKHART PRODUCTS CORP,EPC10031134MUELW03055,1 1/2 CXC 45
3 CXC 45 EPC 10031156 MUEL W 03067,ELKHART PRODUCTS CORP,EPC10031156MUELW03067,3 CXC 45
1 1/2 CXC 90 EPC 10031314 MUEL W 02085,ELKHART PRODUCTS CORP,EPC10031314MUELW02085,1 1/2 CXC 90
2 CXC 90 EPC 10031322 MUEL W 02086,ELKHART PRODUCTS CORP,EPC10031322MUELW02086,2 CXC 90
3 CXC 90 EPC 10031338 MUEL W 02088,ELKHART PRODUCTS CORP,EPC10031338MUELW02088,3 CXC 90
3/4 CXC 90 50/BOX EPC 10031288 MUEL WB01634,ELKHART PRODUCTS CORP,50/BOXEPC10031288MUEL,3/4 CXC 90
6 CXC 90 EL EPC 10031368 (1/BX) (1/CASE)  MUEL W 02097,ELKHART PRODUCTS CORP,EPC10031368(1/BX)(1/CASE),6 CXC 90 EL
2 X 4 BRASS NIPPLE  SCI 4385013240,ASC ENGINEERED SOLUTIONS,SCI4385013240,2 X 4 BRASS NIPPLE
2X1 1/2X2 CXCXC TEE EPC 10032984 (5/BX) (40/CASE) MUEL W 40109,ELKHART PRODUCTS CORP,EPC10032984(5/BX)(40/CASE),2X1 1/2X2 CXCXC TEE
